date,revenue,expenses,cash_balance
2026-07-01,90000,150000,740000
2026-07-02,88000,152000,676000
2026-07-03,92000,151000,617000
2026-07-04,85000,153000,549000
2026-07-05,89000,150000,488000
2026-07-06,87000,154000,421000
2026-07-07,91000,152000,360000
2026-07-08,86000,151000,295000
2026-07-09,90000,153000,232000
2026-07-10,84000,150000,166000
2026-07-11,88000,154000,100000
2026-07-12,92000,152000,40000
2026-07-13,85000,151000,-26000
2026-07-14,89000,153000,-90000
2026-07-15,87000,150000,-153000
2026-07-16,91000,154000,-216000
2026-07-17,86000,152000,-282000
2026-07-18,90000,151000,-343000
2026-07-19,84000,153000,-412000
2026-07-20,88000,150000,-474000
2026-07-21,92000,154000,-536000
2026-07-22,85000,152000,-603000
2026-07-23,89000,151000,-665000
2026-07-24,87000,153000,-731000
2026-07-25,91000,150000,-790000
2026-07-26,86000,154000,-858000
2026-07-27,90000,152000,-920000
2026-07-28,84000,151000,-987000
2026-07-29,88000,153000,-1052000
2026-07-30,92000,150000,-1110000
